Type,Code,Area,All Residents,Age 0 to 4,Age 5 to 9,Age 10 to 14,Age 15 to 19,Age 20 to 24,Age 25 to 29,Age 30 to 34,Age 35 to 39,Age 40 to 44,Age 45 to 49,Age 50 to 54,Age 55 to 59,Age 60 to 64,Age 65 to 69,Age 70 to 74,Age 75 to 79,Age 80 to 84,Age 85 to 89,Age 90 and Over
England and Wales District,E07000197,Stafford,130869,7007,6583,7200,7853,8009,7102,7124,8225,10030,10127,8900,8268,9167,7825,6120,4595,3443,2100,1191
England and Wales District,E07000198,Staffordshire Moorlands,97106,4671,4800,5377,5632,4760,4467,4596,5864,7611,7606,6824,6678,7839,6381,4979,3866,2685,1618,852
England and Wales District,E07000199,Tamworth,76813,5061,4542,4789,4792,4744,5181,4845,5408,5911,5511,5048,4850,4987,3733,2777,2032,1428,808,366
England and Wales District,E07000200,Babergh,87740,4451,4868,5476,5121,3958,3795,4118,5228,6498,6742,5900,5843,6986,5695,4315,3491,2705,1660,890
England and Wales District,E07000201,Forest Heath,59748,4123,3223,3092,2960,4675,5508,4574,3993,3952,3883,3408,3081,3582,2756,2307,1882,1450,909,390
England and Wales District,E07000202,Ipswich,133384,9250,7630,7552,8636,9562,10877,9963,9124,9425,8991,8184,7223,7137,5239,4362,3880,3231,2011,1107
England and Wales District,E07000203,Mid Suffolk,96731,5266,5394,5883,5629,4537,4585,4770,5729,7103,7488,6894,6436,7546,6036,4601,3639,2641,1675,879
England and Wales District,E07000204,St Edmundsbury,111008,6663,6035,6337,6466,6493,7211,6548,7009,8219,8276,6827,6427,7507,6282,4993,3841,2958,1832,1084
England and Wales District,E07000205,Suffolk Coastal,124298,6243,6485,7547,7342,5325,4992,5471,6872,8716,9439,8849,8294,9918,8098,6556,5578,4341,2702,1530
England and Wales District,E07000206,Waveney,115254,6230,5861,6417,6754,5963,5714,5470,6374,7807,7819,7322,7100,8930,7714,6287,5319,4114,2585,1474
England and Wales District,E07000207,Elmbridge,130875,9358,8639,8315,7155,5109,6036,8430,10219,10958,11045,9006,7419,7668,5818,4722,4043,3273,2344,1318
England and Wales District,E07000208,Epsom and Ewell,75102,4628,4415,4737,4684,4182,3952,4640,5368,5904,6005,4972,4274,4766,3502,2872,2416,1851,1249,685
England and Wales District,E07000209,Guildford,137183,8110,7525,7466,8947,11292,9268,9210,9752,9795,10063,8779,7652,7931,5966,4892,4134,3195,2020,1186
England and Wales District,E07000210,Mole Valley,85375,4604,4732,5348,5012,3559,3753,4330,5269,6502,7019,6191,5452,5930,4957,3915,3457,2660,1704,981
England and Wales District,E07000211,Reigate and Banstead,137835,9153,8091,8218,7676,6965,8147,9676,10118,10703,10946,9110,7833,8466,6263,4918,4282,3419,2427,1424
England and Wales District,E07000212,Runnymede,80510,4802,4068,4147,5461,6967,4512,5137,5789,5832,6021,5277,4412,4617,3664,2944,2757,2046,1350,707
England and Wales District,E07000213,Spelthorne,95598,6017,5165,5175,5396,5179,5940,6605,6653,7442,7845,6471,5419,5611,4537,3970,3332,2509,1547,785
England and Wales District,E07000214,Surrey Heath,86144,5129,5153,5464,5131,4207,4581,5072,6133,7101,7144,6146,5191,5287,4267,3401,2954,1955,1182,646
England and Wales District,E07000215,Tandridge,82998,4886,4715,5391,4984,3997,3905,4572,5281,6402,6789,5900,5209,5612,4499,3391,2807,2367,1417,874
England and Wales District,E07000216,Waverley,121572,7341,7335,7727,7910,5101,5248,6384,8348,9333,9432,8300,7255,8036,6710,5251,4585,3405,2368,1503
England and Wales District,E07000217,Woking,99198,7278,6003,5578,5320,4961,6812,7803,8103,7687,7418,6494,5443,5455,4090,3290,2883,2254,1527,799
England and Wales District,E07000218,North Warwickshire,62014,3285,3209,3730,3658,3219,3281,3164,4044,4864,5006,4496,4177,4496,3718,2788,2064,1490,913,412
England and Wales District,E07000219,Nuneaton and Bedworth,125252,7925,7019,7412,7891,7453,7971,7777,8294,9336,9459,8179,7586,8028,6707,5061,3918,2843,1611,782
England and Wales District,E07000220,Rugby,100075,6269,5648,6149,6174,5182,6322,6319,6932,7636,7812,6602,5634,6062,5401,4003,3064,2492,1545,829
England and Wales District,E07000221,Stratford-on-Avon,120485,5965,6176,6849,6737,5257,5382,5558,7242,8897,9596,8718,8187,9341,8117,6149,4931,3761,2317,1305
England and Wales District,E07000222,Warwick,137648,7920,7128,7127,8025,11623,9321,9220,9552,10083,10131,8571,7707,8190,6711,5171,4280,3445,2277,1166
England and Wales District,E07000223,Adur,61182,3537,3110,3173,3540,2982,3131,3363,3947,4532,4450,4003,3679,4301,3658,3057,2602,2082,1348,687
England and Wales District,E07000224,Arun,149518,7386,6968,7416,7931,7443,7314,7190,8113,10123,10463,9404,9080,11359,10264,8971,7558,6037,4116,2382
England and Wales District,E07000225,Chichester,113794,5652,5630,6092,6517,6200,5150,5205,6121,7497,8312,7795,7179,8550,7551,6219,5515,4317,2761,1531
England and Wales District,E07000226,Crawley,106597,8071,6486,6244,6219,6816,9044,9150,8120,8102,7557,6689,5469,5162,3407,2860,2703,2451,1421,626
England and Wales District,E07000227,Horsham,131301,7151,7251,8469,7876,5660,5858,6732,8200,10310,10978,9784,8353,9109,7279,5851,4903,3814,2356,1367
England and Wales District,E07000228,Mid Sussex,139860,8343,8175,8755,8225,6490,7510,8043,9451,11006,11114,9536,8617,9288,7356,5448,4726,3879,2425,1473
England and Wales District,E07000229,Worthing,104640,6346,5559,5584,5659,5497,6013,6415,6938,7933,7919,6775,5852,6576,5344,4597,3986,3569,2504,1574
England and Wales District,E07000234,Bromsgrove,93637,4822,4920,5529,5752,4677,4250,4451,5919,7273,7548,6678,6226,6457,5503,4332,3673,2862,1771,994
England and Wales District,E07000235,Malvern Hills,74631,3297,3643,4448,4818,3146,2919,2939,3849,5157,5705,5428,5144,6157,5095,4179,3369,2627,1781,930
England and Wales District,E07000236,Redditch,84214,5629,4886,4996,5076,5175,5995,6022,5904,6042,5901,5470,5618,5616,4052,2699,2046,1603,986,498
England and Wales District,E07000237,Worcester,98768,6359,5572,5445,6575,7417,7080,6939,7028,7463,7248,6029,5444,5560,4248,3452,2901,2016,1305,687
England and Wales District,E07000238,Wychavon,116944,5743,6021,6679,6719,5361,5368,5455,6872,8866,9340,8323,8088,9094,7491,5966,4603,3529,2244,1182
England and Wales District,E07000239,Wyre Forest,97975,5256,4971,5416,5534,5142,5271,5071,6061,7351,7129,6161,6345,7804,6692,4912,3718,2634,1673,834
England and Wales District,E08000001,Bolton,276786,18765,16878,17793,17922,18071,18285,17195,18544,20981,20058,17565,15344,16845,13034,10519,7931,5728,3652,1676
England and Wales District,E08000002,Bury,185060,12235,11108,11361,11545,10688,11622,11483,12314,14180,14354,12337,10581,11712,8968,7324,5616,4007,2397,1228
England and Wales District,E08000003,Manchester,503127,36413,28617,26785,38302,66998,56595,45004,33970,32466,28637,23927,19633,18236,13191,11576,9378,7026,4226,2147
England and Wales District,E08000004,Oldham,224897,16491,15422,15337,15056,14586,15177,14020,14431,16494,15699,14128,12228,12875,10027,8253,6068,4397,2760,1448
England and Wales District,E08000005,Rochdale,211699,14754,13148,13925,14425,14005,14111,13367,13846,15701,15071,13710,12366,12454,9161,7481,5911,4456,2632,1175
England and Wales District,E08000006,Salford,233933,16255,13011,12969,15103,19537,20989,17158,15407,16236,16106,14035,11563,12358,9498,8045,6410,4734,3012,1507
England and Wales District,E08000007,Stockport,283275,17342,15808,16759,16875,15184,15896,17124,18582,21363,22206,19670,17176,18263,14277,12238,10122,7640,4441,2309
England and Wales District,E08000008,Tameside,219324,14439,12455,13029,13987,13744,14320,13588,14467,16827,17066,14721,12613,13867,10526,8518,6456,4521,2822,1358
England and Wales District,E08000009,Trafford,226578,14870,14032,14076,13526,11776,13764,15010,16430,17781,18223,15281,12722,12814,9759,8566,7240,5659,3371,1678
England and Wales District,E08000010,Wigan,317849,19681,18044,18270,19570,19310,20174,19030,21461,25621,24750,20778,18312,21199,17181,13138,9541,6389,3682,1718
England and Wales District,E08000011,Knowsley,145893,9121,8312,9200,10123,9846,9229,8166,8694,10509,11500,10986,8984,8209,6164,5780,5147,3559,1688,676
England and Wales District,E08000012,Liverpool,466415,26099,22254,24315,34572,50636,39966,33053,28069,30893,32022,29288,25364,24418,17685,16342,13967,9742,5307,2423
England and Wales District,E08000013,St. Helens,175308,10269,9271,10212,10959,10522,10501,9747,11459,12931,13174,11727,10881,12255,9596,8016,6129,4165,2402,1092
England and Wales District,E08000014,Sefton,273790,14601,13768,15672,16642,15915,14915,13445,15389,18772,21160,20290,17790,18420,15058,13715,11879,8833,4931,2595
England and Wales District,E08000015,Wirral,319783,18514,17677,19005,19863,18069,17939,17112,19161,22719,24360,22395,20263,21740,17035,14284,12018,9295,5481,2853
England and Wales District,E08000016,Barnsley,231221,13957,12562,13378,14390,13533,14446,12793,14720,18212,17843,16204,14330,14843,12346,9734,7708,5542,3279,1401
England and Wales District,E08000017,Doncaster,302402,19220,17072,17407,18937,19417,20239,17825,18852,21581,22572,20928,18364,18847,14737,12372,10174,7486,4346,2026
England and Wales District,E08000018,Rotherham,257280,15738,14645,15664,16217,15227,15422,14333,16099,19442,19390,17934,15663,16664,13686,11097,8537,6023,3684,1815
England and Wales District,E08000019,Sheffield,552698,33977,30337,30193,42309,56134,38805,35936,34878,39453,36497,32216,27578,28687,24114,20574,16800,12437,7600,4173
England and Wales District,E08000020,Gateshead,200214,11869,10310,10880,12170,12104,14059,13110,12880,14476,15053,13790,11672,12596,9646,8962,7293,5119,2897,1328
England and Wales District,E08000021,Newcastle upon Tyne,280177,16522,14035,14488,22396,36012,22948,18053,16697,17222,17956,16629,14367,14133,10289,9091,7857,6000,3578,1904
England and Wales District,E08000022,North Tyneside,200801,11732,10653,10921,11459,10908,12411,13326,13505,14813,15766,14180,12773,13059,9704,8392,7124,5363,3155,1557
England and Wales District,E08000023,South Tyneside,148127,8182,7551,8233,9493,9447,8901,8343,8610,10483,11720,11143,9531,9637,7096,6538,5492,4140,2503,1084
England and Wales District,E08000024,Sunderland,275506,15378,14133,15355,17787,19709,16945,15877,17040,19937,20944,20020,17577,18011,13198,11833,9759,6841,3576,1586
England and Wales District,E08000025,Birmingham,1073045,81901,74360,73659,80278,93914,85601,79169,71405,72084,68109,57698,50219,46435,37543,32559,27902,21141,12656,6412
England and Wales District,E08000026,Coventry,316960,22476,18402,17831,24242,30610,24848,21542,20655,21377,20186,17807,15378,15356,13208,10807,8750,6793,4404,2288
England and Wales District,E08000027,Dudley,312925,18867,17934,18539,19863,18141,18947,18024,19798,23848,23248,19583,18389,19547,17255,14247,11379,8418,4673,2225
England and Wales District,E08000028,Sandwell,308063,22669,20194,19333,20220,20793,23085,21235,21168,22411,21398,17991,15495,15230,13139,11381,9186,6950,4096,2089
England and Wales District,E08000029,Solihull,206674,11555,11711,13111,13406,11365,10664,10683,12380,15355,16534,14258,12226,13830,11530,8933,7529,6103,3621,1880
England and Wales District,E08000030,Walsall,269323,18373,16971,17266,17667,17504,17690,16184,16906,19503,19087,16464,14672,15221,13227,11439,9194,6558,3706,1691
England and Wales District,E08000031,Wolverhampton,249470,16687,14442,15095,16728,17988,17947,16436,16744,18219,17370,14949,13255,12981,10853,9712,8146,6322,3768,1828
England and Wales District,E08000032,Bradford,522452,41167,37482,36268,35368,35679,38810,36821,35704,35914,34006,31493,27588,26760,18570,16918,13917,10383,6493,3111
England and Wales District,E08000033,Calderdale,203826,12906,11982,12563,12629,11421,12089,12375,13604,15959,15886,14195,12401,13344,9848,7745,5956,4629,2831,1463
England and Wales District,E08000034,Kirklees,422458,28331,26027,26177,27547,28826,27475,26954,28285,31654,30260,26926,24001,25845,19323,15712,12091,9001,5316,2707
England and Wales District,E08000035,Leeds,751485,47844,40581,40167,52835,71874,59860,53456,50021,52285,50442,44050,38294,40178,30220,26235,22229,16332,9600,4982
England and Wales District,E08000036,Wakefield,325837,19545,17643,18774,20019,19566,20773,18597,21324,25390,25157,22633,20053,21221,16902,13440,10611,7527,4504,2158
England and Wales District,W06000001,Anglesey,69751,3878,3464,3746,3851,3863,3603,3563,3846,4641,4750,4817,4622,5461,4759,3815,2847,2199,1249,777
England and Wales District,W06000002,Gwynedd,121874,6819,6178,6610,8348,9719,6472,6060,6736,7918,8154,7864,7323,8533,7391,5739,4802,3763,2278,1167
England and Wales District,W06000003,Conwy,115228,5839,5506,6418,6602,5798,5404,5350,6036,7693,8304,7939,7333,8844,7604,6362,5558,4363,2729,1546
England and Wales District,W06000004,Denbighshire,93734,5323,4961,5473,6009,5212,4525,4496,5353,6420,6925,6223,5965,7159,5791,4794,3709,2813,1656,927
England and Wales District,W06000005,Flintshire,152506,9349,8373,8997,9497,8970,8547,8377,9724,11475,11715,10113,9504,11029,8455,6844,4929,3455,2060,1093
England and Wales District,W06000006,Wrexham,134844,8829,7617,7736,8043,8439,8825,8212,8813,9971,9725,8640,8285,8858,7126,5390,4256,3202,1858,1019
England and Wales District,W06000008,Ceredigion,75922,3472,3346,3642,6632,8191,3614,3304,3654,4325,4738,4841,4884,5574,4724,3694,2957,2194,1406,730
England and Wales District,W06000009,Pembrokeshire,122439,6784,6358,7383,7481,6710,5860,5770,6379,8046,9065,8197,8188,9525,7910,6470,5174,3673,2289,1177
England and Wales District,W06000010,Carmarthenshire,183777,10310,9697,10642,11345,10598,9531,9330,10234,12228,13568,12528,12242,13348,11419,8924,7273,5378,3449,1733
England and Wales District,W06000011,Swansea,239023,13110,12439,13214,16049,20520,15559,14389,14713,15929,16301,15156,13856,14976,12048,10108,8636,6265,3815,1940
England and Wales District,W06000012,Neath Port Talbot,139812,7599,7316,8020,8520,8112,8702,8311,8540,9759,10380,9758,9261,9483,7641,6221,4901,3836,2295,1157
England and Wales District,W06000013,Bridgend,139178,7727,7579,8369,8397,8234,8439,8332,9136,10456,10633,9366,8521,9135,7518,6251,4761,3284,2054,986
England and Wales District,W06000014,The Vale of Glamorgan,126336,7333,6918,7902,8152,6825,6969,7237,7958,8943,9463,8883,8211,8487,6824,5543,4260,3275,2134,1019
England and Wales District,W06000015,Cardiff,346090,22378,18080,18538,25870,38735,30515,25290,22195,22461,22410,20231,17337,16498,12204,10501,9043,6906,4703,2195
England and Wales District,W06000016,"Rhondda, Cynon, Taff",234410,14449,13140,13885,14882,16178,14818,14131,14623,16884,16796,15244,13854,15453,12186,9818,7706,5304,3383,1676
England and Wales District,W06000018,Caerphilly,178806,11313,10430,10991,11318,10820,11222,10989,11408,13256,13057,11790,10832,11815,9276,7414,5706,3761,2332,1076
England and Wales District,W06000019,Blaenau Gwent,69814,4016,3557,4053,4645,4636,4284,3996,4195,5378,5228,4636,4094,4619,3913,3052,2422,1593,993,504
England and Wales District,W06000020,Torfaen,91075,5381,5033,5620,6078,5588,5574,5069,5183,6457,6854,6189,5639,6040,4837,3807,3221,2347,1419,739
England and Wales District,W06000021,Monmouthshire,91323,4637,4771,5684,5729,4311,3812,4067,5075,6836,7641,6539,6281,6897,5630,4440,3718,2678,1683,894
England and Wales District,W06000022,Newport,145736,9543,8557,9402,9881,10041,9406,9161,8860,10798,10670,9356,7803,8507,6769,5775,4677,3382,2115,1033
England and Wales District,W06000023,Powys,132976,6582,6640,7947,7967,6465,5877,5843,6975,9000,9971,9221,9378,10864,9087,7145,5715,4211,2685,1403
England and Wales District,W06000024,Merthyr Tydfil,58802,3630,3119,3476,3824,3959,4170,3417,3409,4281,4363,4068,3510,3780,2895,2436,1931,1350,775,409
Scotland District,S12000005,Clackmannanshire,51400,2900,2700,3100,3200,2900,2900,3000,3500,4200,4200,3700,3300,3600,2800,2100,1500,1800,,
Scotland District,S12000006,Dumfries and Galloway,151300,7700,7400,8300,8800,7700,7400,6700,8200,10600,12000,11200,10800,11700,9800,8200,6600,8400,,
Scotland District,S12000008,East Ayrshire,122700,6800,6400,6900,7700,7500,7000,6700,7900,9700,9800,8900,7900,8300,6500,5400,4300,5100,,
Scotland District,S12000010,East Lothian,99700,5900,5500,5900,6400,5300,4800,5000,6500,8000,8200,7600,6300,6400,5200,4300,3500,4700,,
Scotland District,S12000011,East Renfrewshire,90600,5000,5600,6100,6100,5100,3500,4100,5300,7000,7700,7200,6000,5700,4500,3900,3400,4600,,
Scotland District,S12000013,Eilean Siar,27700,1400,1400,1500,1600,1200,1300,1400,1600,2100,2100,2000,2000,2200,1700,1500,1100,1600,,
Scotland District,S12000014,Falkirk,156000,9300,8400,8900,9300,8800,9300,9800,11300,12600,12400,11000,9500,10100,7600,6500,5100,6200,,
Scotland District,S12000015,Fife,365200,20800,19100,20200,22700,24100,20800,20800,23000,27400,28000,26100,23000,25000,19500,15700,12400,16500,,
Scotland District,S12000017,Highland,232100,12700,12400,13400,13300,11600,12800,12500,13900,16900,18500,17500,16600,17000,13300,10600,8400,10800,,
Scotland District,S12000018,Inverclyde,81500,4200,4000,4500,5100,5000,4700,4300,4800,6100,6900,6300,5300,5400,4300,3600,3000,3800,,
Scotland District,S12000019,Midlothian,83200,4900,4700,5100,5200,4800,4400,4700,5300,6400,6500,6100,5400,5800,4300,3500,2800,3300,,
Scotland District,S12000020,Moray,93300,5300,4900,5600,5900,5000,5300,5100,5700,7000,7200,6600,6000,6400,5100,4300,3500,4300,,
Scotland District,S12000021,North Ayrshire,138200,7400,7200,8000,8800,7900,7300,7100,8200,10200,10800,10000,9300,9900,8000,6600,5100,6200,,
Scotland District,S12000023,Orkney Islands,21400,1100,1000,1200,1300,1100,1000,1100,1200,1600,1700,1600,1500,1600,1300,1100,700,1000,,
Scotland District,S12000024,Perth and Kinross,146700,7300,7300,8700,8700,7500,8100,7600,8400,10700,11700,10600,10000,10600,8500,7200,5800,8100,,
Scotland District,S12000026,Scottish Borders,113900,5700,5900,6300,6400,5300,5000,5100,6700,8700,9200,8700,8000,8900,7100,5900,4600,6300,,
Scotland District,S12000027,Shetland Islands,23200,1400,1300,1500,1400,1300,1200,1400,1500,1700,1800,1600,1600,1600,1200,900,700,900,,
Scotland District,S12000028,South Ayrshire,112800,5500,5400,6200,6400,6200,5500,5400,6400,7900,8800,8500,7900,8400,7200,5900,4800,6400,,
Scotland District,S12000029,South Lanarkshire,313800,17400,16500,17900,19200,17600,18200,18400,20800,24700,25500,23900,21100,19800,15900,13300,10600,13100,,
Scotland District,S12000030,Stirling,90200,4400,4800,5600,6600,7200,4900,4500,5300,6700,7100,6300,5400,5800,4600,3900,3100,3900,,
Scotland District,S12000033,Aberdeen City,222800,11500,9200,9400,14700,23200,21200,17000,14700,14800,15400,14300,12800,12500,8500,7700,6700,9100,,
Scotland District,S12000034,Aberdeenshire,253000,15100,14000,15100,15300,13100,13200,14600,17400,20100,20600,18800,17400,17500,12600,10000,7800,10300,,
Scotland District,S12000035,Argyll and Bute,88200,4100,4300,4900,5100,4400,4200,3900,4800,6200,6900,6500,6300,7200,5900,4900,3700,4900,,
Scotland District,S12000036,City of Edinburgh,476600,26200,20500,21100,28500,47800,45300,38500,34100,32800,32900,29900,25500,25100,18100,16000,13800,20600,,
Scotland District,S12000038,Renfrewshire,174900,9600,9100,9900,10800,11000,10700,10100,10900,13700,14400,13200,11000,11000,8700,7500,5900,7400,,
Scotland District,S12000039,West Dunbartonshire,90700,5200,4700,5000,5800,5800,5800,5200,5500,6900,7400,6900,6000,5700,4400,3700,3000,3800,,
Scotland District,S12000040,West Lothian,175100,11600,10700,10800,11100,10400,10800,10900,12900,14700,14500,12300,10300,10400,8000,6300,4600,4900,,
Scotland District,S12000041,Angus,116000,6000,6100,6800,6900,6000,6000,6000,6900,8300,9100,8300,7800,8700,6700,5600,4600,6200,,
Scotland District,S12000042,Dundee City,147300,7800,6800,7400,10800,15300,11700,8900,8000,9300,10200,9900,8000,8500,6400,6000,5200,7000,,
Scotland District,S12000044,North Lanarkshire,337800,20600,19500,20600,21400,21000,21800,21500,23200,26800,26900,23600,20500,20200,15700,13300,10100,11400,,
Scotland District,S12000045,East Dunbartonshire,105000,5200,5700,6400,7000,6000,4300,4500,5900,7800,8900,8400,7300,7300,5800,5200,4300,5200,,
Scotland District,S12000046,Glasgow City,593200,33000,27100,29300,39400,56600,55000,46100,40100,43100,43500,38300,31200,28400,22100,20300,17300,22400,,
Northern Ireland District,95A,Derry,107877,7574,7003,7891,8641,7811,8010,6838,7155,8130,8094,6765,5758,5355,4321,3277,2436,1613,828,377
Northern Ireland District,95B,Limavady,33536,2317,2107,2337,2445,2330,2208,2272,2509,2649,2424,2077,1896,1730,1452,1100,706,521,321,135
Northern Ireland District,95C,Coleraine,59067,3470,3348,3843,4410,4222,3288,3315,3662,4245,4525,4029,3450,3371,3020,2529,1904,1290,790,356
Northern Ireland District,95D,Ballymoney,31224,2110,1999,2099,2078,2043,2014,2084,2196,2421,2366,1995,1622,1545,1488,1114,907,643,345,155
Northern Ireland District,95E,Moyle,17050,1053,1030,1158,1094,1094,957,922,1108,1224,1226,1171,1085,1007,949,744,524,363,239,102
Northern Ireland District,95F,Larne,32180,1860,1869,2037,2064,1937,1804,1744,2035,2398,2630,2333,1955,2030,1721,1329,1058,733,405,238
Northern Ireland District,95G,Ballymena,64044,4099,3957,3990,4040,3932,3980,3967,4367,4983,4486,4071,3836,3682,3286,2520,2064,1540,843,401
Northern Ireland District,95H,Magherafelt,45038,3524,3116,3234,3269,3278,3116,3188,3213,3297,3104,2669,2299,2102,1770,1357,1101,746,437,218
Northern Ireland District,95I,Cookstown,37013,2802,2444,2503,2665,2792,2701,2729,2657,2544,2518,2262,1864,1774,1523,1161,836,674,373,191
Northern Ireland District,95J,Strabane,39843,2685,2508,3013,2894,2588,2471,2607,2818,3087,2938,2410,2117,2120,1751,1426,1061,766,389,194
Northern Ireland District,95K,Omagh,51356,3679,3462,3764,3736,3327,3478,3428,3480,3634,3716,3379,2977,2581,2084,1665,1271,899,540,256
Northern Ireland District,95L,Fermanagh,61805,4190,3910,4181,4114,3809,3930,4012,4205,4406,4454,4115,3661,3594,2843,2182,1739,1289,800,371
Northern Ireland District,95M,Dungannon,57852,4540,4029,4037,4011,4121,4408,4270,4225,4128,3891,3475,2879,2666,2252,1768,1367,949,539,297
Northern Ireland District,95N,Craigavon,93023,7316,5983,6013,6174,6392,6838,6675,6489,6884,6644,5659,4737,4602,4019,3156,2412,1651,947,432
Northern Ireland District,95O,Armagh,59340,4309,3881,4128,4173,3977,4059,3763,4073,4208,4189,3808,3184,3166,2691,2080,1529,1167,667,288
Northern Ireland District,95P,Newry and Mourne,99480,7720,6970,7261,7239,6763,7238,6744,6926,7314,7082,6053,5282,4632,3850,3004,2415,1643,953,391
Northern Ireland District,95Q,Banbridge,48339,3661,3234,3260,3093,2951,3063,3275,3481,3814,3684,3163,2558,2406,2139,1585,1277,893,544,258
Northern Ireland District,95R,Down,69731,4803,4347,4832,5029,4668,4418,4136,4457,5021,5153,4568,3999,3884,3288,2520,1955,1356,873,424
Northern Ireland District,95S,Lisburn,120165,8844,7668,8241,8700,7689,7814,8105,7971,8951,8885,7949,6549,6140,5329,4076,3213,2186,1195,660
Northern Ireland District,95T,Antrim,53428,3975,3555,3685,3494,3426,3618,3613,3914,4111,3998,3294,2851,2823,2442,1747,1320,831,493,238
Northern Ireland District,95U,Newtownabbey,85139,5892,5190,5238,5933,5673,5360,5733,5875,6172,6180,5571,4693,4514,3962,3152,2550,1939,1058,454
Northern Ireland District,95V,Carrickfergus,39114,2350,2282,2496,2726,2412,2197,2272,2551,3081,3227,2780,2307,2180,1993,1508,1212,828,475,237
Northern Ireland District,95W,North Down,78937,4765,4355,4480,4625,4470,4760,4735,5117,5714,5779,5438,5023,5204,4775,3123,2612,1965,1309,688
Northern Ireland District,95X,Ards,78078,4747,4654,4879,4782,4404,4366,4526,5112,5851,5865,5532,4886,5208,4590,3153,2341,1677,966,539
Northern Ireland District,95Y,Castlereagh,67242,4051,3768,4167,4409,3782,3718,4179,4570,5197,5606,4891,3755,3335,3237,2728,2355,1950,1099,445
Northern Ireland District,95Z,Belfast,280962,18046,14618,16267,20403,26122,24285,20707,18094,18384,18981,17476,14049,12639,11346,9475,8193,6254,3737,1886